date,network,daypart,viewers
201401,A,"S,Su 8:00 AM - 1:00 PM",275
201401,B,"S,Su 8:00 AM - 1:00 PM",423
201401,C,"S,Su 8:00 AM - 1:00 PM",1046
201401,D,"S,Su 8:00 AM - 1:00 PM",215
201401,E,"S,Su 8:00 AM - 1:00 PM",521
201401,A,"S,Su 6:00 AM - 8:00 AM",133
201401,B,"S,Su 6:00 AM - 8:00 AM",0
201401,C,"S,Su 6:00 AM - 8:00 AM",326
201401,D,"S,Su 6:00 AM - 8:00 AM",146
201401,E,"S,Su 6:00 AM - 8:00 AM",0
201401,A,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",239
201401,B,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",358
201401,C,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",441
201401,D,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",174
201401,E,"M,T,W,R,F,S,Su 1:00 AM - 6:00 AM",405
201401,A,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",538
201401,B,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",682
201401,C,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",921
201401,D,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",246
201401,E,"M,T,W,R,F,S,Su 11:00 PM - 1:00 AM",671
201401,A,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",866
201401,B,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1519
201401,C,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1320
201401,D,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",428
201401,E,"M,T,W,R,F,S,Su 8:00 PM - 11:00 PM",1057
201401,A,"M,T,W,R,F 6:00 PM - 8:00 PM",349
201401,B,"M,T,W,R,F 6:00 PM - 8:00 PM",771
201401,C,"M,T,W,R,F 6:00 PM - 8:00 PM",879
201401,D,"M,T,W,R,F 6:00 PM - 8:00 PM",198
201401,E,"M,T,W,R,F 6:00 PM - 8:00 PM",574
201401,A,"M,T,W,R,F 4:00 PM - 6:00 PM",251
201401,B,"M,T,W,R,F 4:00 PM - 6:00 PM",518
201401,C,"M,T,W,R,F 4:00 PM - 6:00 PM",751
201401,D,"M,T,W,R,F 4:00 PM - 6:00 PM",134
201401,E,"M,T,W,R,F 4:00 PM - 6:00 PM",441
201401,A,"M,T,W,R,F 1:00 PM - 4:00 PM",200
201401,B,"M,T,W,R,F 1:00 PM - 4:00 PM",408
201401,C,"M,T,W,R,F 1:00 PM - 4:00 PM",723
201401,D,"M,T,W,R,F 1:00 PM - 4:00 PM",127
201401,E,"M,T,W,R,F 1:00 PM - 4:00 PM",385
201401,A,"M,T,W,R,F 10:00 AM - 1:00 PM",137
201401,B,"M,T,W,R,F 10:00 AM - 1:00 PM",371
201401,C,"M,T,W,R,F 10:00 AM - 1:00 PM",551
201401,D,"M,T,W,R,F 10:00 AM - 1:00 PM",144
201401,E,"M,T,W,R,F 10:00 AM - 1:00 PM",276
201401,A,"M,T,W,R,F 6:00 AM - 10:00 AM",99
201401,B,"M,T,W,R,F 6:00 AM - 10:00 AM",199
201401,C,"M,T,W,R,F 6:00 AM - 10:00 AM",267
201401,D,"M,T,W,R,F 6:00 AM - 10:00 AM",120
201401,E,"M,T,W,R,F 6:00 AM - 10:00 AM",141
201401,A,"S,Su 1:00 PM - 8:00 PM",381
201401,B,"S,Su 1:00 PM - 8:00 PM",678
201401,C,"S,Su 1:00 PM - 8:00 PM",1307
201401,D,"S,Su 1:00 PM - 8:00 PM",221
201401,E,"S,Su 1:00 PM - 8:00 PM",736
201402,A,"S,Su 8:00 AM - 1:00 PM",239
